gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사730391,2023,,,,,,,,,,,,,,,,,,
다사676304,2023,25.0,14.0,18.0,22.0,23.0,24.0,23.0,27.0,18.0,14.0,0.0,8.0,0.0,0.0,,0.0,,
다사676300,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
다사676301,2023,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
다사632298,2023,,,,,,,,,,,,,,,,,,
다사676302,2023,7.0,10.0,6.0,7.0,10.0,10.0,12.0,16.0,10.0,12.0,8.0,13.0,8.0,6.0,0.0,,,
다사632297,2023,,,,,,,,,,,,,,,,,,
다사676303,2023,0.0,0.0,14.0,18.0,14.0,9.0,0.0,6.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,
다사632296,2023,,,,,,,,,,,,,,,,,,
다사676309,2023,27.0,25.0,17.0,25.0,22.0,26.0,45.0,48.0,27.0,26.0,11.0,13.0,0.0,10.0,,0.0,,
다사676305,2023,29.0,17.0,12.0,16.0,14.0,25.0,38.0,36.0,19.0,18.0,10.0,9.0,0.0,0.0,,0.0,,
다사632295,2023,,,,,,,,,,,,,,,,,,
다사676306,2023,,,,,,,,,,,,,,,,,,
다사676307,2023,,,,,,,,,,,,,,,,,,
다사632294,2023,,,,,,,,,,,,,,,,,,
다사676308,2023,20.0,21.0,10.0,17.0,21.0,23.0,33.0,35.0,25.0,25.0,11.0,9.0,0.0,6.0,0.0,,,
다사632299,2023,,,,,,,,,,,,,,,,,,
다사676299,2023,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
다사632300,2023,,,,,,,,,,,,,,,,,,
다사676298,2023,,,,,,,,,,,,,,,,,,
다사676297,2023,,,,,,,,,,,,,,,,,,
다사632301,2023,,,,,,,,,,,,,,,,,,
