stn_nm,stn_ln_info,lon,lat,std_ym
판교역,신분당선,127.1112091,37.39472616,2011
판교역,경강선,127.1112091,37.39472616,2016
태평역,수인분당선,127.1277397,37.43981668,2020
정자역,수인분당선,127.1081019,37.36614631,2020
정자역,신분당선,127.1081019,37.36614631,2011
이매역,수인분당선,127.1282924,37.39617077,2020
이매역,경강선,127.1282924,37.39617077,2016
오리역,수인분당선,127.1089557,37.33981298,2020
야탑역,수인분당선,127.1287307,37.41145159,2020
신흥역,8호선,127.1475733,37.44096715,1996
수진역,8호선,127.1405944,37.43738962,1996
수내역,수인분당선,127.1142787,37.378444,2020
서현역,수인분당선,127.1233897,37.38498979,2020
산성역,8호선,127.1503401,37.45707378,1996
미금역,수인분당선,127.1089931,37.35004864,2020
미금역,신분당선,127.1089931,37.35004864,2018
모란역,8호선,127.1298089,37.43404117,1996
모란역,수인분당선,127.1298089,37.43404117,2020
단대오거리역,8호선,127.1567913,37.44504589,1996
남한산성입구역,8호선,127.1599021,37.45180833,1996
남위례역,8호선,127.1390021,37.46288242,2021
가천대역,수인분당선,127.1267037,37.44866575,2020
